FileName,OriginalURL
test_smell_001.test.js,https://github.com/emmai89/Assignment/blob/2ec0af36a6cde4db003a09dbf18ba1ffcf1b1ffa/UnitTest.java#L59-L78
test_smell_002.test.js,https://github.com/Glacier173/Git/blob/7fcb4dae0f2c2e9a9d5a931a15398d59462f4195/GitTest.java#L25-L34
test_smell_003.test.js,https://github.com/arcuri82/testing_security_development_enterprise_systems/blob/c80e35b4181111f0e56ae7243bd5762756af4f90/old/old_jpa_lock/UserTest.java#L296-L340
test_smell_004.test.js,https://github.com/Glacier173/wgit-project/blob/8820c845d359331793302eed996b34d9c2b017f4/GitTest.java#L43-L60
test_smell_005.test.js,https://github.com/RachanSaini/java-testing-p1/blob/a41fdfa0c6ac3c2567ff44fbe5a57c41351ad8fd/LoopTest.java#L23-L28
test_smell_006.test.js,https://github.com/yuchting/yuchbox/blob/c4e3d7c87a47f192a4a7632fbb91d68fb3dbd719/server/src/weibo4j/WeiboTest.java#L276-L283
test_smell_007.test.js,https://github.com/noel-austin/CSU33012-Calculator/blob/9dee51c9af4d9ac7f8a161acb5baeb2ff1dd6691/MainTest.java#L32-L46
test_smell_008.test.js,https://github.com/henrytxz/Algo/blob/f0b186aa128ebd01835013f432b793593c4a0e6d/slowTests/not_quick/ArrayInversionTest.java#L52-L80
test_smell_009.test.js,https://github.com/gabrielseibel1/MusicSeibuilder/blob/e931ba43f8edab3ec38006ef8476e77425726952/SoundTest.java#L78-L86
test_smell_010.test.js,https://github.com/rdlester/hermes/blob/156c7cdc5479c50e952cea0878728383c1d2eb73/hermesTest/core/BeingTest.java#L58-L67
test_smell_011.test.js,https://github.com/chadwishner/COP3502-Project-4-Java-/blob/d2a79f7fc4a9883f68f60744cb2866225fe449ec/TaskTest.java#L10-L54
test_smell_012.test.js,https://github.com/gabrielseibel1/MusicSeibuilder/blob/e931ba43f8edab3ec38006ef8476e77425726952/SoundTest.java#L43-L53
test_smell_013.test.js,https://github.com/bennn/NLP/blob/7d0c90feeaac03308791641dc6c864e88eba2ed0/TrieTest.java#L79-L99
test_smell_014.test.js,https://github.com/blueseerERP/blueseer/blob/77d3e9cdd7f364ed556f982cbfa71eabf812c5bc/src/utilities/bsTest.java#L105-L119
test_smell_015.test.js,https://github.com/muenchhausen/3wins/blob/57b86a71a57b9a62f811d7d568b11d9d676821fd/GameTest.java#L67-L86
test_smell_016.test.js,https://github.com/zevichen/base/blob/5a7e50aab41c5949b91fd96a175cfdcd85812608/src/main/java/com/czw/base/thread/MainTest.java#L29-L52
test_smell_017.test.js,https://github.com/emmai89/Assignment/blob/2ec0af36a6cde4db003a09dbf18ba1ffcf1b1ffa/UnitTest.java#L19-L37
test_smell_018.test.js,https://github.com/saronson/apcs.java.06.04.Cards/blob/c7e30e11f1bbf4026f80cc30ffd7759c36deb38a/DeckTest.java#L134-L182
test_smell_019.test.js,https://github.com/alibaba/alios-libreoffice/blob/e9a6cc08a12b5133a9dccf337d16f9a534f57f1e/bean/qa/complex/bean/OOoBeanTest.java#L291-L319
test_smell_020.test.js,https://github.com/hhaslam11/Text-Fighter/blob/ae0fe3e4fba1e8ebb880a2ab0572069b21e8618f/src/com/hotmail/kalebmarc/textfighter/player/PotionTest.java#L266-L324
test_smell_021.test.js,https://github.com/vigusmao/Comp2_2020_PLE/blob/f38a995ff51ade221cdca4c6b72b98b88f13d9ef/Siguinha/src/testes/AlunoTest.java#L48-L84
test_smell_022.test.js,https://github.com/nguyenmv2/ChessAI/blob/61c7d27b9697f9e84af1cde6aa063b73a7c154d1/src/chess/hash/CuckooHashTest.java#L125-L150
test_smell_023.test.js,https://github.com/gabrielseibel1/MusicSeibuilder/blob/e931ba43f8edab3ec38006ef8476e77425726952/SoundTest.java#L15-L23
test_smell_024.test.js,https://github.com/henrytxz/Algo/blob/f0b186aa128ebd01835013f432b793593c4a0e6d/slowTests/not_quick/ArrayInversionTest.java#L82-L108
test_smell_025.test.js,https://github.com/backgammon-java-ai/backg_java2012/blob/ca26b37a9a649d3ed5eb97cfceb9e5719b269bb7/MoveTest.java#L49-L78
test_smell_026.test.js,https://github.com/joejensen8/Orange/blob/dac8bf7f4ed4120504e5652ddc0f79b7e1721e51/OpadTest.java#L63-L86
test_smell_027.test.js,https://github.com/Afrah-Rahim/Money1/blob/5e9fe90849f27596efdbfe38185adcac6efab5c5/BankTest.java#L155-L174
test_smell_028.test.js,https://github.com/Rangel888/Decimal-Binary-Hex-Converter/blob/6332568433580c1130a97ea1139d5c07d15a1f47/MTest.java#L28-L65
